CL = 0.0098 | alpha = 0.9902 | z_{1-alpha/2} = 0.0122827873829757
CL = 0.0099 | alpha = 0.9901 | z_{1-alpha/2} = 0.0124081283480543
CL = 0.0100 | alpha = 0.9900 | z_{1-alpha/2} = 0.0125334695080693
CL = 0.0101 | alpha = 0.9899 | z_{1-alpha/2} = 0.0126588108649905
CL = 0.0102 | alpha = 0.9898 | z_{1-alpha/2} = 0.0127841524207877
CL = 0.0103 | alpha = 0.9897 | z_{1-alpha/2} = 0.0129094941774307
CL = 0.0104 | alpha = 0.9896 | z_{1-alpha/2} = 0.0130348361368894
CL = 0.0105 | alpha = 0.9895 | z_{1-alpha/2} = 0.0131601783011336
CL = 0.0106 | alpha = 0.9894 | z_{1-alpha/2} = 0.0132855206721333
CL = 0.0107 | alpha = 0.9893 | z_{1-alpha/2} = 0.0134108632518583
CL = 0.0108 | alpha = 0.9892 | z_{1-alpha/2} = 0.0135362060422784
CL = 0.0109 | alpha = 0.9891 | z_{1-alpha/2} = 0.0136615490453638
CL = 0.0110 | alpha = 0.9890 | z_{1-alpha/2} = 0.0137868922630843
CL = 0.0111 | alpha = 0.9889 | z_{1-alpha/2} = 0.0139122356974100
CL = 0.0112 | alpha = 0.9888 | z_{1-alpha/2} = 0.0140375793503108
CL = 0.0113 | alpha = 0.9887 | z_{1-alpha/2} = 0.0141629232237570
CL = 0.0114 | alpha = 0.9886 | z_{1-alpha/2} = 0.0142882673197184
CL = 0.0115 | alpha = 0.9885 | z_{1-alpha/2} = 0.0144136116401652
CL = 0.0116 | alpha = 0.9884 | z_{1-alpha/2} = 0.0145389561870677
CL = 0.0117 | alpha = 0.9883 | z_{1-alpha/2} = 0.0146643009623957
CL = 0.0118 | alpha = 0.9882 | z_{1-alpha/2} = 0.0147896459681196
CL = 0.0119 | alpha = 0.9881 | z_{1-alpha/2} = 0.0149149912062095
CL = 0.0120 | alpha = 0.9880 | z_{1-alpha/2} = 0.0150403366786357
CL = 0.0121 | alpha = 0.9879 | z_{1-alpha/2} = 0.0151656823873683
CL = 0.0122 | alpha = 0.9878 | z_{1-alpha/2} = 0.0152910283343778
CL = 0.0123 | alpha = 0.9877 | z_{1-alpha/2} = 0.0154163745216343
CL = 0.0124 | alpha = 0.9876 | z_{1-alpha/2} = 0.0155417209511083
CL = 0.0125 | alpha = 0.9875 | z_{1-alpha/2} = 0.0156670676247700
CL = 0.0126 | alpha = 0.9874 | z_{1-alpha/2} = 0.0157924145445898
CL = 0.0127 | alpha = 0.9873 | z_{1-alpha/2} = 0.0159177617125383
CL = 0.0128 | alpha = 0.9872 | z_{1-alpha/2} = 0.0160431091305857
CL = 0.0129 | alpha = 0.9871 | z_{1-alpha/2} = 0.0161684568007025
CL = 0.0130 | alpha = 0.9870 | z_{1-alpha/2} = 0.0162938047248593
CL = 0.0131 | alpha = 0.9869 | z_{1-alpha/2} = 0.0164191529050264
CL = 0.0132 | alpha = 0.9868 | z_{1-alpha/2} = 0.0165445013431746
CL = 0.0133 | alpha = 0.9867 | z_{1-alpha/2} = 0.0166698500412744
CL = 0.0134 | alpha = 0.9866 | z_{1-alpha/2} = 0.0167951990012963
CL = 0.0135 | alpha = 0.9865 | z_{1-alpha/2} = 0.0169205482252110
CL = 0.0136 | alpha = 0.9864 | z_{1-alpha/2} = 0.0170458977149891
CL = 0.0137 | alpha = 0.9863 | z_{1-alpha/2} = 0.0171712474726016
CL = 0.0138 | alpha = 0.9862 | z_{1-alpha/2} = 0.0172965975000188
CL = 0.0139 | alpha = 0.9861 | z_{1-alpha/2} = 0.0174219477992116
CL = 0.0140 | alpha = 0.9860 | z_{1-alpha/2} = 0.0175472983721508
CL = 0.0141 | alpha = 0.9859 | z_{1-alpha/2} = 0.0176726492208072
CL = 0.0142 | alpha = 0.9858 | z_{1-alpha/2} = 0.0177980003471516
CL = 0.0143 | alpha = 0.9857 | z_{1-alpha/2} = 0.0179233517531550
CL = 0.0144 | alpha = 0.9856 | z_{1-alpha/2} = 0.0180487034407882
CL = 0.0145 | alpha = 0.9855 | z_{1-alpha/2} = 0.0181740554120221
CL = 0.0146 | alpha = 0.9854 | z_{1-alpha/2} = 0.0182994076688277
CL = 0.0147 | alpha = 0.9853 | z_{1-alpha/2} = 0.0184247602131761
CL = 0.0148 | alpha = 0.9852 | z_{1-alpha/2} = 0.0185501130470382
CL = 0.0149 | alpha = 0.9851 | z_{1-alpha/2} = 0.0186754661723850
CL = 0.0150 | alpha = 0.9850 | z_{1-alpha/2} = 0.0188008195911877
CL = 0.0151 | alpha = 0.9849 | z_{1-alpha/2} = 0.0189261733054174
CL = 0.0152 | alpha = 0.9848 | z_{1-alpha/2} = 0.0190515273170452
CL = 0.0153 | alpha = 0.9847 | z_{1-alpha/2} = 0.0191768816280424
CL = 0.0154 | alpha = 0.9846 | z_{1-alpha/2} = 0.0193022362403801
CL = 0.0155 | alpha = 0.9845 | z_{1-alpha/2} = 0.0194275911560296
CL = 0.0156 | alpha = 0.9844 | z_{1-alpha/2} = 0.0195529463769622
CL = 0.0157 | alpha = 0.9843 | z_{1-alpha/2} = 0.0196783019051494
CL = 0.0158 | alpha = 0.9842 | z_{1-alpha/2} = 0.0198036577425622
CL = 0.0159 | alpha = 0.9841 | z_{1-alpha/2} = 0.0199290138911721
CL = 0.0160 | alpha = 0.9840 | z_{1-alpha/2} = 0.0200543703529506
CL = 0.0161 | alpha = 0.9839 | z_{1-alpha/2} = 0.0201797271298692
CL = 0.0162 | alpha = 0.9838 | z_{1-alpha/2} = 0.0203050842238993
CL = 0.0163 | alpha = 0.9837 | z_{1-alpha/2} = 0.0204304416370124
CL = 0.0164 | alpha = 0.9836 | z_{1-alpha/2} = 0.0205557993711801
CL = 0.0165 | alpha = 0.9835 | z_{1-alpha/2} = 0.0206811574283741
CL = 0.0166 | alpha = 0.9834 | z_{1-alpha/2} = 0.0208065158105659
CL = 0.0167 | alpha = 0.9833 | z_{1-alpha/2} = 0.0209318745197273
CL = 0.0168 | alpha = 0.9832 | z_{1-alpha/2} = 0.0210572335578298
CL = 0.0169 | alpha = 0.9831 | z_{1-alpha/2} = 0.0211825929268453
CL = 0.0170 | alpha = 0.9830 | z_{1-alpha/2} = 0.0213079526287455
CL = 0.0171 | alpha = 0.9829 | z_{1-alpha/2} = 0.0214333126655022
CL = 0.0172 | alpha = 0.9828 | z_{1-alpha/2} = 0.0215586730390873
CL = 0.0173 | alpha = 0.9827 | z_{1-alpha/2} = 0.0216840337514727
CL = 0.0174 | alpha = 0.9826 | z_{1-alpha/2} = 0.0218093948046303
CL = 0.0175 | alpha = 0.9825 | z_{1-alpha/2} = 0.0219347562005320
CL = 0.0176 | alpha = 0.9824 | z_{1-alpha/2} = 0.0220601179411500
CL = 0.0177 | alpha = 0.9823 | z_{1-alpha/2} = 0.0221854800284562
CL = 0.0178 | alpha = 0.9822 | z_{1-alpha/2} = 0.0223108424644226
CL = 0.0179 | alpha = 0.9821 | z_{1-alpha/2} = 0.0224362052510214
CL = 0.0180 | alpha = 0.9820 | z_{1-alpha/2} = 0.0225615683902247
CL = 0.0181 | alpha = 0.9819 | z_{1-alpha/2} = 0.0226869318840048
CL = 0.0182 | alpha = 0.9818 | z_{1-alpha/2} = 0.0228122957343338
CL = 0.0183 | alpha = 0.9817 | z_{1-alpha/2} = 0.0229376599431841
CL = 0.0184 | alpha = 0.9816 | z_{1-alpha/2} = 0.0230630245125278
CL = 0.0185 | alpha = 0.9815 | z_{1-alpha/2} = 0.0231883894443375
CL = 0.0186 | alpha = 0.9814 | z_{1-alpha/2} = 0.0233137547405855
CL = 0.0187 | alpha = 0.9813 | z_{1-alpha/2} = 0.0234391204032443
CL = 0.0188 | alpha = 0.9812 | z_{1-alpha/2} = 0.0235644864342862
CL = 0.0189 | alpha = 0.9811 | z_{1-alpha/2} = 0.0236898528356837
CL = 0.0190 | alpha = 0.9810 | z_{1-alpha/2} = 0.0238152196094095
CL = 0.0191 | alpha = 0.9809 | z_{1-alpha/2} = 0.0239405867574361
CL = 0.0192 | alpha = 0.9808 | z_{1-alpha/2} = 0.0240659542817361
CL = 0.0193 | alpha = 0.9807 | z_{1-alpha/2} = 0.0241913221842823
CL = 0.0194 | alpha = 0.9806 | z_{1-alpha/2} = 0.0243166904670474
CL = 0.0195 | alpha = 0.9805 | z_{1-alpha/2} = 0.0244420591320040
CL = 0.0196 | alpha = 0.9804 | z_{1-alpha/2} = 0.0245674281811251
CL = 0.0197 | alpha = 0.9803 | z_{1-alpha/2} = 0.0246927976163836
CL = 0.0198 | alpha = 0.9802 | z_{1-alpha/2} = 0.0248181674397520
CL = 0.0199 | alpha = 0.9801 | z_{1-alpha/2} = 0.0249435376532035
CL = 0.0200 | alpha = 0.9800 | z_{1-alpha/2} = 0.0250689082587111
CL = 0.0201 | alpha = 0.9799 | z_{1-alpha/2} = 0.0251942792582476
CL = 0.0202 | alpha = 0.9798 | z_{1-alpha/2} = 0.0253196506537863
CL = 0.0203 | alpha = 0.9797 | z_{1-alpha/2} = 0.0254450224473002
CL = 0.0204 | alpha = 0.9796 | z_{1-alpha/2} = 0.0255703946407624
CL = 0.0205 | alpha = 0.9795 | z_{1-alpha/2} = 0.0256957672361462
CL = 0.0206 | alpha = 0.9794 | z_{1-alpha/2} = 0.0258211402354247
CL = 0.0207 | alpha = 0.9793 | z_{1-alpha/2} = 0.0259465136405714
CL = 0.0208 | alpha = 0.9792 | z_{1-alpha/2} = 0.0260718874535593
CL = 0.0209 | alpha = 0.9791 | z_{1-alpha/2} = 0.0261972616763620
CL = 0.0210 | alpha = 0.9790 | z_{1-alpha/2} = 0.0263226363109528
CL = 0.0211 | alpha = 0.9789 | z_{1-alpha/2} = 0.0264480113593052
CL = 0.0212 | alpha = 0.9788 | z_{1-alpha/2} = 0.0265733868233927
CL = 0.0213 | alpha = 0.9787 | z_{1-alpha/2} = 0.0266987627051888
CL = 0.0214 | alpha = 0.9786 | z_{1-alpha/2} = 0.0268241390066672
CL = 0.0215 | alpha = 0.9785 | z_{1-alpha/2} = 0.0269495157298014
CL = 0.0216 | alpha = 0.9784 | z_{1-alpha/2} = 0.0270748928765652
CL = 0.0217 | alpha = 0.9783 | z_{1-alpha/2} = 0.0272002704489325
CL = 0.0218 | alpha = 0.9782 | z_{1-alpha/2} = 0.0273256484488767
CL = 0.0219 | alpha = 0.9781 | z_{1-alpha/2} = 0.0274510268783718
CL = 0.0220 | alpha = 0.9780 | z_{1-alpha/2} = 0.0275764057393917
CL = 0.0221 | alpha = 0.9779 | z_{1-alpha/2} = 0.0277017850339103
CL = 0.0222 | alpha = 0.9778 | z_{1-alpha/2} = 0.0278271647639016
CL = 0.0223 | alpha = 0.9777 | z_{1-alpha/2} = 0.0279525449313396
CL = 0.0224 | alpha = 0.9776 | z_{1-alpha/2} = 0.0280779255381983
CL = 0.0225 | alpha = 0.9775 | z_{1-alpha/2} = 0.0282033065864519
CL = 0.0226 | alpha = 0.9774 | z_{1-alpha/2} = 0.0283286880780745
CL = 0.0227 | alpha = 0.9773 | z_{1-alpha/2} = 0.0284540700150405
CL = 0.0228 | alpha = 0.9772 | z_{1-alpha/2} = 0.0285794523993239
CL = 0.0229 | alpha = 0.9771 | z_{1-alpha/2} = 0.0287048352328991
CL = 0.0230 | alpha = 0.9770 | z_{1-alpha/2} = 0.0288302185177405
CL = 0.0231 | alpha = 0.9769 | z_{1-alpha/2} = 0.0289556022558225
CL = 0.0232 | alpha = 0.9768 | z_{1-alpha/2} = 0.0290809864491195
CL = 0.0233 | alpha = 0.9767 | z_{1-alpha/2} = 0.0292063710996061
CL = 0.0234 | alpha = 0.9766 | z_{1-alpha/2} = 0.0293317562092567
CL = 0.0235 | alpha = 0.9765 | z_{1-alpha/2} = 0.0294571417800461
CL = 0.0236 | alpha = 0.9764 | z_{1-alpha/2} = 0.0295825278139489
CL = 0.0237 | alpha = 0.9763 | z_{1-alpha/2} = 0.0297079143129400
CL = 0.0238 | alpha = 0.9762 | z_{1-alpha/2} = 0.0298333012789937
CL = 0.0239 | alpha = 0.9761 | z_{1-alpha/2} = 0.0299586887140851
CL = 0.0240 | alpha = 0.9760 | z_{1-alpha/2} = 0.0300840766201891
CL = 0.0241 | alpha = 0.9759 | z_{1-alpha/2} = 0.0302094649992805
CL = 0.0242 | alpha = 0.9758 | z_{1-alpha/2} = 0.0303348538533344
CL = 0.0243 | alpha = 0.9757 | z_{1-alpha/2} = 0.0304602431843257
CL = 0.0244 | alpha = 0.9756 | z_{1-alpha/2} = 0.0305856329942295
CL = 0.0245 | alpha = 0.9755 | z_{1-alpha/2} = 0.0307110232850210
CL = 0.0246 | alpha = 0.9754 | z_{1-alpha/2} = 0.0308364140586753
CL = 0.0247 | alpha = 0.9753 | z_{1-alpha/2} = 0.0309618053171677
CL = 0.0248 | alpha = 0.9752 | z_{1-alpha/2} = 0.0310871970624736
CL = 0.0249 | alpha = 0.9751 | z_{1-alpha/2} = 0.0312125892965681
